id,catCode,bu,lv1,lv1_order,lv2,lv2_order,lv3,lv3_order,name,order,biko,charalist
1,CHARACTER_QUEST,"３部","第１～２部",1,"旅人",17,"とある市民おじさん",1,"おじさん",1,"キャラクター一覧では１～２部の扱いだが、実装は３部","おじさん"
2,CHARACTER_QUEST,"３部","第１～２部",1,"旅人",17,"とある市民おじさん",1,"今日のおじさん",2,"リフレットが立ち寄る村","おじさん"
3,CHARACTER_QUEST,"３部","第１～２部",1,"旅人",17,"とある市民おばさん",2,"おばさん",1,"キャラクター一覧では１～２部の扱いだが、実装は３部","おばさん"
4,CHARACTER_QUEST,"３部","第１～２部",1,"旅人",17,"とある市民おばさん",2,"おばさんの日常",2,"ダスティが訪問","おばさん"
5,CHARACTER_QUEST,"３部","第１～２部",1,"旅人",17,"とある市民少年",3,"少年",1,"キャラクター一覧では１～２部の扱いだが、実装は３部","少年"
6,CHARACTER_QUEST,"３部","第１～２部",1,"旅人",17,"とある市民少年",3,"ある少年の話",2,,"少年,ロレッタ（声のみ）,エンヴィ（声のみ）,パトリシア（声のみ）"
7,CHARACTER_QUEST,"１～２部","第１～２部",1,"旅人",17,"禍鎧の殴り騎士フィーンド",4,"探れ！　鎧の魔物",1,"メディアファクトリーコラボ","主人公,ピリカ,フィーナ,フィーンド"
8,CHARACTER_QUEST,"１～２部","第１～２部",1,"旅人",17,"禍鎧の殴り騎士フィーンド",4,"脱がせ！　最強の鎧",2,,"主人公,ピリカ,フィーナ,フィーンド"
9,CHARACTER_QUEST,"１～２部","第１～２部",1,"旅人",17,"アラムの小さな相棒ケマミレ",5,"ケマミレ",1,,"ケマミレ"
10,CHARACTER_QUEST,"１～２部","第１～２部",1,"旅人",17,"アラムの小さな相棒ケマミレ",5,"ケマミレの大冒険",2,,"ユーリ（アニメ）,アラム（アニメ）,ケマミレ（アニメ）"
11,CHARACTER_QUEST,"１～２部","第１～２部",1,"旅人",17,"伝説を創る者ヘロディア",6,"取材のためなら",1,"メディアファクトリーコラボ","主人公,ピリカ,フィーナ,ヘロディア"
12,CHARACTER_QUEST,"１～２部","第１～２部",1,"旅人",17,"伝説を創る者ヘロディア",6,"英雄の資質",2,,"主人公,ピリカ,フィーナ,ヘロディア"
13,CHARACTER_QUEST,"１～２部","第１～２部",1,"旅人",17,"伝説を創る者ヘロディア",6,"ある英雄の死",3,,"主人公,ピリカ,フィーナ,ヘロディア"
14,CHARACTER_QUEST,"１～２部","第１～２部",1,"旅人",17,"天武の忌才フィーンド",7,"フィーンド",1,,"占い師"
15,CHARACTER_QUEST,"１～２部","第１～２部",1,"旅人",17,"天武の忌才フィーンド",7,"集え！救い難き善人",2,"前提クエスト：キャラクエ＞１～２部＞旅人＞禍鎧の殴り騎士フィーンド","主人公,ピリカ,フィーナ,フィーンド"
16,CHARACTER_QUEST,"１～２部","第１～２部",1,"旅人",17,"莫大な脅威カナーン",8,"天秤はどちらへ",1,"チェンクロラジオ聴取者特典",
17,CHARACTER_QUEST,"１～２部","第１～２部",1,"旅人",17,"幼き老婆ユカチ",9,"幼き老婆",1,"チェンクロラジオ聴取者特典",
